filename,label
dataset\Cat\0.jpg,0
dataset\Cat\1.jpg,0
dataset\Cat\10.jpg,0
dataset\Cat\100.jpg,0
dataset\Cat\1000.jpg,0
dataset\Cat\10000.jpg,0
dataset\Cat\10001.jpg,0
dataset\Cat\10002.jpg,0
dataset\Cat\10003.jpg,0
dataset\Cat\10004.jpg,0
dataset\Cat\10005.jpg,0
dataset\Cat\10006.jpg,0
dataset\Cat\10007.jpg,0
dataset\Cat\10008.jpg,0
dataset\Cat\10009.jpg,0
dataset\Cat\1001.jpg,0
dataset\Cat\10010.jpg,0
dataset\Cat\10011.jpg,0
dataset\Cat\10012.jpg,0
dataset\Cat\10013.jpg,0
dataset\Cat\10014.jpg,0
dataset\Cat\10015.jpg,0
dataset\Cat\10016.jpg,0
dataset\Cat\10017.jpg,0
dataset\Cat\10018.jpg,0
dataset\Cat\10019.jpg,0
dataset\Cat\1002.jpg,0
dataset\Cat\10020.jpg,0
dataset\Cat\10021.jpg,0
dataset\Cat\10022.jpg,0
dataset\Cat\10023.jpg,0
dataset\Cat\10024.jpg,0
dataset\Cat\10025.jpg,0
dataset\Cat\10026.jpg,0
dataset\Cat\10027.jpg,0
dataset\Cat\10028.jpg,0
dataset\Cat\10029.jpg,0
dataset\Cat\1003.jpg,0
dataset\Cat\10030.jpg,0
dataset\Cat\10031.jpg,0
dataset\Cat\10032.jpg,0
dataset\Cat\10033.jpg,0
dataset\Cat\10034.jpg,0
dataset\Cat\10035.jpg,0
dataset\Cat\10036.jpg,0
dataset\Cat\10037.jpg,0
dataset\Cat\10038.jpg,0
dataset\Cat\10039.jpg,0
dataset\Cat\1004.jpg,0
dataset\Cat\10040.jpg,0
dataset\Cat\10041.jpg,0
dataset\Cat\10042.jpg,0
dataset\Cat\10043.jpg,0
dataset\Cat\10044.jpg,0
dataset\Cat\10045.jpg,0
dataset\Cat\10046.jpg,0
dataset\Cat\10047.jpg,0
dataset\Cat\10048.jpg,0
dataset\Cat\10049.jpg,0
dataset\Cat\1005.jpg,0
dataset\Cat\10050.jpg,0
dataset\Cat\10051.jpg,0
dataset\Cat\10052.jpg,0
dataset\Cat\10053.jpg,0
dataset\Cat\10054.jpg,0
dataset\Cat\10055.jpg,0
dataset\Cat\10056.jpg,0
dataset\Cat\10057.jpg,0
dataset\Cat\10058.jpg,0
dataset\Cat\10059.jpg,0
dataset\Cat\1006.jpg,0
dataset\Cat\10060.jpg,0
dataset\Cat\10061.jpg,0
dataset\Cat\10062.jpg,0
dataset\Cat\10063.jpg,0
dataset\Cat\10064.jpg,0
dataset\Cat\10065.jpg,0
dataset\Cat\10066.jpg,0
dataset\Cat\10067.jpg,0
dataset\Cat\10068.jpg,0
dataset\Cat\10069.jpg,0
dataset\Cat\1007.jpg,0
dataset\Cat\10070.jpg,0
dataset\Cat\10071.jpg,0
dataset\Cat\10072.jpg,0
dataset\Cat\10073.jpg,0
dataset\Cat\10074.jpg,0
dataset\Cat\10075.jpg,0
dataset\Cat\10076.jpg,0
dataset\Cat\10077.jpg,0
dataset\Cat\10078.jpg,0
dataset\Cat\10079.jpg,0
dataset\Cat\1008.jpg,0
dataset\Cat\10080.jpg,0
dataset\Cat\10081.jpg,0
dataset\Cat\10082.jpg,0
dataset\Cat\10083.jpg,0
dataset\Cat\10084.jpg,0
dataset\Cat\10085.jpg,0
dataset\Cat\10086.jpg,0
dataset\Cat\10087.jpg,0
dataset\Cat\10088.jpg,0
dataset\Cat\10089.jpg,0
dataset\Cat\1009.jpg,0
dataset\Cat\10090.jpg,0
dataset\Cat\10091.jpg,0
dataset\Cat\10092.jpg,0
dataset\Cat\10093.jpg,0
dataset\Cat\10094.jpg,0
dataset\Cat\10095.jpg,0
dataset\Cat\10096.jpg,0
dataset\Cat\10097.jpg,0
dataset\Cat\10098.jpg,0
dataset\Cat\10099.jpg,0
dataset\Cat\101.jpg,0
dataset\Cat\1010.jpg,0
dataset\Cat\10100.jpg,0
dataset\Cat\10101.jpg,0
dataset\Cat\10102.jpg,0
dataset\Cat\10103.jpg,0
dataset\Cat\10104.jpg,0
dataset\Cat\10105.jpg,0
dataset\Cat\10106.jpg,0
dataset\Cat\10107.jpg,0
dataset\Cat\10108.jpg,0
dataset\Cat\10109.jpg,0
dataset\Cat\1011.jpg,0
dataset\Cat\10110.jpg,0
dataset\Cat\10111.jpg,0
dataset\Cat\10112.jpg,0
dataset\Cat\10113.jpg,0
dataset\Cat\10114.jpg,0
dataset\Cat\10115.jpg,0
dataset\Cat\10116.jpg,0
dataset\Cat\10117.jpg,0
dataset\Cat\10118.jpg,0
dataset\Cat\10119.jpg,0
dataset\Cat\1012.jpg,0
dataset\Cat\10120.jpg,0
dataset\Cat\10121.jpg,0
dataset\Cat\10122.jpg,0
dataset\Cat\10123.jpg,0
dataset\Cat\10124.jpg,0
dataset\Cat\10125.jpg,0
dataset\Cat\10126.jpg,0
dataset\Cat\10127.jpg,0
dataset\Cat\10128.jpg,0
dataset\Cat\10129.jpg,0
dataset\Cat\1013.jpg,0
dataset\Cat\10130.jpg,0
dataset\Cat\10131.jpg,0
dataset\Cat\10132.jpg,0
dataset\Cat\10133.jpg,0
dataset\Cat\10134.jpg,0
dataset\Cat\10135.jpg,0
dataset\Cat\10136.jpg,0
dataset\Cat\10137.jpg,0
dataset\Cat\10138.jpg,0
dataset\Cat\10139.jpg,0
dataset\Cat\1014.jpg,0
dataset\Cat\10140.jpg,0
dataset\Cat\10141.jpg,0
dataset\Cat\10142.jpg,0
dataset\Cat\10143.jpg,0
dataset\Cat\10144.jpg,0
dataset\Cat\10145.jpg,0
dataset\Cat\10146.jpg,0
dataset\Cat\10147.jpg,0
dataset\Cat\10148.jpg,0
dataset\Cat\10149.jpg,0
dataset\Cat\1015.jpg,0
dataset\Cat\10150.jpg,0
dataset\Cat\10151.jpg,0
dataset\Cat\10152.jpg,0
dataset\Cat\10153.jpg,0
dataset\Cat\10154.jpg,0
dataset\Cat\10155.jpg,0
dataset\Cat\10156.jpg,0
dataset\Cat\10157.jpg,0
dataset\Cat\10158.jpg,0
dataset\Cat\10159.jpg,0
dataset\Cat\1016.jpg,0
dataset\Cat\10160.jpg,0
dataset\Cat\10161.jpg,0
dataset\Cat\10162.jpg,0
dataset\Cat\10163.jpg,0
dataset\Cat\10164.jpg,0
dataset\Cat\10165.jpg,0
dataset\Cat\10166.jpg,0
dataset\Cat\10167.jpg,0
dataset\Cat\10168.jpg,0
dataset\Cat\10169.jpg,0
dataset\Cat\1017.jpg,0
dataset\Cat\10170.jpg,0
dataset\Cat\10171.jpg,0
dataset\Cat\10172.jpg,0
dataset\Cat\10173.jpg,0
dataset\Cat\10174.jpg,0
dataset\Cat\10175.jpg,0
dataset\Cat\10176.jpg,0
dataset\Cat\10177.jpg,0
dataset\Cat\10178.jpg,0
dataset\Cat\10179.jpg,0
dataset\Cat\1018.jpg,0
dataset\Cat\10180.jpg,0
dataset\Cat\10181.jpg,0
dataset\Cat\10182.jpg,0
dataset\Cat\10183.jpg,0
dataset\Cat\10184.jpg,0
dataset\Cat\10185.jpg,0
dataset\Cat\10186.jpg,0
dataset\Cat\10187.jpg,0
dataset\Cat\10188.jpg,0
dataset\Cat\10189.jpg,0
dataset\Cat\1019.jpg,0
dataset\Cat\10190.jpg,0
dataset\Cat\10191.jpg,0
dataset\Cat\10192.jpg,0
dataset\Cat\10193.jpg,0
dataset\Cat\10194.jpg,0
dataset\Cat\10195.jpg,0
dataset\Cat\10196.jpg,0
dataset\Cat\10197.jpg,0
dataset\Cat\10198.jpg,0
dataset\Cat\10199.jpg,0
dataset\Cat\102.jpg,0
dataset\Cat\1020.jpg,0
dataset\Cat\10200.jpg,0
dataset\Cat\10201.jpg,0
dataset\Cat\10202.jpg,0
dataset\Cat\10203.jpg,0
dataset\Cat\10204.jpg,0
dataset\Cat\10205.jpg,0
dataset\Cat\10206.jpg,0
dataset\Cat\10207.jpg,0
dataset\Cat\10208.jpg,0
dataset\Cat\10209.jpg,0
dataset\Cat\1021.jpg,0
dataset\Cat\10210.jpg,0
dataset\Cat\10211.jpg,0
dataset\Cat\10212.jpg,0
dataset\Cat\10213.jpg,0
dataset\Cat\10214.jpg,0
dataset\Cat\10215.jpg,0
dataset\Cat\10216.jpg,0
dataset\Cat\10217.jpg,0
dataset\Cat\10218.jpg,0
dataset\Cat\10219.jpg,0
dataset\Cat\1022.jpg,0
dataset\Cat\10220.jpg,0
dataset\Cat\10221.jpg,0
dataset\Cat\10222.jpg,0
dataset\Cat\10223.jpg,0
dataset\Cat\10224.jpg,0
dataset\Cat\10225.jpg,0
dataset\Cat\10226.jpg,0
dataset\Cat\10227.jpg,0
dataset\Cat\10228.jpg,0
dataset\Cat\10229.jpg,0
dataset\Cat\1023.jpg,0
dataset\Cat\10230.jpg,0
dataset\Cat\10231.jpg,0
dataset\Cat\10232.jpg,0
dataset\Cat\10233.jpg,0
dataset\Cat\10234.jpg,0
dataset\Cat\10235.jpg,0
dataset\Cat\10236.jpg,0
dataset\Cat\10237.jpg,0
dataset\Cat\10238.jpg,0
dataset\Cat\10239.jpg,0
dataset\Cat\1024.jpg,0
dataset\Cat\10240.jpg,0
dataset\Cat\10241.jpg,0
dataset\Cat\10242.jpg,0
dataset\Cat\10243.jpg,0
